sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
11529;SDS011;5821;50.886;4.693;2019-02-10T00:01:29;15.57;;;3.43;;
11529;SDS011;5821;50.886;4.693;2019-02-10T00:04:05;14.87;;;3.90;;
11529;SDS011;5821;50.886;4.693;2019-02-10T00:06:33;17.50;;;4.07;;
11529;SDS011;5821;50.886;4.693;2019-02-10T00:09:00;12.70;;;3.57;;
11529;SDS011;5821;50.886;4.693;2019-02-10T00:11:27;14.87;;;3.60;;
11529;SDS011;5821;50.886;4.693;2019-02-10T00:13:54;15.73;;;3.87;;
11529;SDS011;5821;50.886;4.693;2019-02-10T00:16:22;21.10;;;4.30;;
11529;SDS011;5821;50.886;4.693;2019-02-10T00:18:50;14.90;;;4.03;;
11529;SDS011;5821;50.886;4.693;2019-02-10T00:21:17;15.23;;;3.80;;
11529;SDS011;5821;50.886;4.693;2019-02-10T00:23:44;15.03;;;3.97;;
11529;SDS011;5821;50.886;4.693;2019-02-10T00:26:11;16.67;;;3.90;;
11529;SDS011;5821;50.886;4.693;2019-02-10T00:28:38;15.00;;;3.90;;
11529;SDS011;5821;50.886;4.693;2019-02-10T00:31:05;15.33;;;4.20;;
11529;SDS011;5821;50.886;4.693;2019-02-10T00:33:32;14.50;;;3.90;;
11529;SDS011;5821;50.886;4.693;2019-02-10T00:35:59;15.93;;;4.13;;
11529;SDS011;5821;50.886;4.693;2019-02-10T00:38:26;14.17;;;3.97;;
11529;SDS011;5821;50.886;4.693;2019-02-10T00:40:53;12.17;;;3.60;;
11529;SDS011;5821;50.886;4.693;2019-02-10T00:43:20;17.93;;;3.87;;
11529;SDS011;5821;50.886;4.693;2019-02-10T00:45:47;12.93;;;3.77;;
11529;SDS011;5821;50.886;4.693;2019-02-10T00:48:14;18.33;;;3.97;;
11529;SDS011;5821;50.886;4.693;2019-02-10T00:50:42;23.83;;;14.23;;
11529;SDS011;5821;50.886;4.693;2019-02-10T00:53:09;13.80;;;3.77;;
11529;SDS011;5821;50.886;4.693;2019-02-10T00:55:36;16.10;;;4.03;;
11529;SDS011;5821;50.886;4.693;2019-02-10T00:58:03;17.93;;;4.17;;
11529;SDS011;5821;50.886;4.693;2019-02-10T01:00:30;15.30;;;4.33;;
11529;SDS011;5821;50.886;4.693;2019-02-10T01:02:57;13.50;;;4.30;;
11529;SDS011;5821;50.886;4.693;2019-02-10T01:05:24;13.20;;;3.40;;
11529;SDS011;5821;50.886;4.693;2019-02-10T01:07:51;13.57;;;3.50;;
11529;SDS011;5821;50.886;4.693;2019-02-10T01:10:18;12.43;;;3.57;;
11529;SDS011;5821;50.886;4.693;2019-02-10T01:12:48;17.40;;;4.20;;
11529;SDS011;5821;50.886;4.693;2019-02-10T01:15:15;13.33;;;3.53;;
11529;SDS011;5821;50.886;4.693;2019-02-10T01:17:42;10.47;;;3.10;;
11529;SDS011;5821;50.886;4.693;2019-02-10T01:20:09;9.77;;;2.97;;
11529;SDS011;5821;50.886;4.693;2019-02-10T01:22:36;10.30;;;3.23;;
11529;SDS011;5821;50.886;4.693;2019-02-10T01:25:03;12.63;;;3.37;;
11529;SDS011;5821;50.886;4.693;2019-02-10T01:27:30;8.87;;;2.93;;
11529;SDS011;5821;50.886;4.693;2019-02-10T01:29:57;10.67;;;2.83;;
11529;SDS011;5821;50.886;4.693;2019-02-10T01:32:24;12.33;;;2.63;;
11529;SDS011;5821;50.886;4.693;2019-02-10T01:34:51;11.73;;;2.80;;
11529;SDS011;5821;50.886;4.693;2019-02-10T01:37:19;12.07;;;3.30;;
11529;SDS011;5821;50.886;4.693;2019-02-10T01:39:46;9.47;;;2.80;;
11529;SDS011;5821;50.886;4.693;2019-02-10T01:42:13;7.93;;;2.47;;
11529;SDS011;5821;50.886;4.693;2019-02-10T01:44:40;12.97;;;3.07;;
11529;SDS011;5821;50.886;4.693;2019-02-10T01:47:07;10.90;;;2.90;;
11529;SDS011;5821;50.886;4.693;2019-02-10T01:49:34;12.47;;;3.00;;
11529;SDS011;5821;50.886;4.693;2019-02-10T01:52:01;13.53;;;3.13;;
11529;SDS011;5821;50.886;4.693;2019-02-10T01:54:28;11.27;;;2.83;;
11529;SDS011;5821;50.886;4.693;2019-02-10T01:56:56;10.93;;;2.70;;
11529;SDS011;5821;50.886;4.693;2019-02-10T01:59:23;10.90;;;2.97;;
11529;SDS011;5821;50.886;4.693;2019-02-10T02:01:50;10.27;;;2.80;;
11529;SDS011;5821;50.886;4.693;2019-02-10T02:04:17;11.87;;;3.00;;
11529;SDS011;5821;50.886;4.693;2019-02-10T02:06:44;9.97;;;3.07;;
11529;SDS011;5821;50.886;4.693;2019-02-10T02:09:11;10.57;;;2.77;;
11529;SDS011;5821;50.886;4.693;2019-02-10T02:11:40;11.87;;;3.00;;
11529;SDS011;5821;50.886;4.693;2019-02-10T02:14:07;13.37;;;2.90;;
11529;SDS011;5821;50.886;4.693;2019-02-10T02:16:34;10.37;;;3.10;;
11529;SDS011;5821;50.886;4.693;2019-02-10T02:19:02;9.63;;;2.90;;
11529;SDS011;5821;50.886;4.693;2019-02-10T02:21:29;13.10;;;3.10;;
11529;SDS011;5821;50.886;4.693;2019-02-10T02:23:56;13.10;;;3.10;;
11529;SDS011;5821;50.886;4.693;2019-02-10T02:26:23;12.70;;;2.87;;
11529;SDS011;5821;50.886;4.693;2019-02-10T02:28:50;10.97;;;3.20;;
11529;SDS011;5821;50.886;4.693;2019-02-10T02:31:18;12.57;;;3.07;;
11529;SDS011;5821;50.886;4.693;2019-02-10T02:33:45;10.27;;;2.97;;
11529;SDS011;5821;50.886;4.693;2019-02-10T02:36:13;11.00;;;2.80;;
11529;SDS011;5821;50.886;4.693;2019-02-10T02:38:40;8.53;;;2.70;;
11529;SDS011;5821;50.886;4.693;2019-02-10T02:41:07;10.70;;;3.03;;
11529;SDS011;5821;50.886;4.693;2019-02-10T02:43:34;10.97;;;2.73;;
11529;SDS011;5821;50.886;4.693;2019-02-10T02:46:01;8.70;;;2.90;;
11529;SDS011;5821;50.886;4.693;2019-02-10T02:48:28;7.50;;;2.73;;
