sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
113;BME280;3093;48.809;9.181;2019-02-10T02:38:08;97298.71;;;5.64;100.00
113;BME280;3093;48.809;9.181;2019-02-10T02:40:36;97285.40;;;5.84;100.00
113;BME280;3093;48.809;9.181;2019-02-10T02:43:05;97283.94;;;5.65;100.00
113;BME280;3093;48.809;9.181;2019-02-10T02:45:33;97282.63;;;5.73;100.00
113;BME280;3093;48.809;9.181;2019-02-10T02:48:02;97273.22;;;6.02;100.00
113;BME280;3093;48.809;9.181;2019-02-10T02:50:31;97266.61;;;6.25;100.00
113;BME280;3093;48.809;9.181;2019-02-10T02:52:59;97267.23;;;6.52;100.00
113;BME280;3093;48.809;9.181;2019-02-10T02:55:28;97268.02;;;6.64;99.96
113;BME280;3093;48.809;9.181;2019-02-10T02:57:56;97259.67;;;6.77;98.13
113;BME280;3093;48.809;9.181;2019-02-10T03:00:25;97247.56;;;6.98;96.02
113;BME280;3093;48.809;9.181;2019-02-10T03:02:54;97239.22;;;7.03;95.75
113;BME280;3093;48.809;9.181;2019-02-10T03:05:22;97232.75;;;6.99;95.52
113;BME280;3093;48.809;9.181;2019-02-10T03:07:51;97227.11;;;7.04;94.84
113;BME280;3093;48.809;9.181;2019-02-10T03:10:19;97222.67;;;7.06;94.70
113;BME280;3093;48.809;9.181;2019-02-10T03:12:48;97221.80;;;6.99;94.66
113;BME280;3093;48.809;9.181;2019-02-10T03:15:16;97212.37;;;7.11;94.53
113;BME280;3093;48.809;9.181;2019-02-10T03:17:45;97206.95;;;7.00;94.37
113;BME280;3093;48.809;9.181;2019-02-10T03:20:32;97197.94;;;7.08;94.70
113;BME280;3093;48.809;9.181;2019-02-10T03:23:01;97196.83;;;7.18;93.62
113;BME280;3093;48.809;9.181;2019-02-10T03:25:29;97181.52;;;7.25;91.76
113;BME280;3093;48.809;9.181;2019-02-10T03:27:58;97185.86;;;7.18;92.86
113;BME280;3093;48.809;9.181;2019-02-10T03:30:27;97170.55;;;7.25;91.37
113;BME280;3093;48.809;9.181;2019-02-10T03:32:55;97165.13;;;7.23;91.88
113;BME280;3093;48.809;9.181;2019-02-10T03:35:24;97157.72;;;7.23;91.72
113;BME280;3093;48.809;9.181;2019-02-10T03:37:53;97148.52;;;7.19;91.71
113;BME280;3093;48.809;9.181;2019-02-10T03:40:21;97141.98;;;7.26;90.31
113;BME280;3093;48.809;9.181;2019-02-10T03:42:50;97127.25;;;7.33;90.44
113;BME280;3093;48.809;9.181;2019-02-10T03:45:18;97123.76;;;7.30;90.65
113;BME280;3093;48.809;9.181;2019-02-10T03:47:47;97120.23;;;7.30;90.06
113;BME280;3093;48.809;9.181;2019-02-10T03:50:15;97122.16;;;7.29;90.44
113;BME280;3093;48.809;9.181;2019-02-10T03:52:43;97114.82;;;7.27;90.48
113;BME280;3093;48.809;9.181;2019-02-10T03:55:12;97113.19;;;7.26;91.79
113;BME280;3093;48.809;9.181;2019-02-10T03:57:40;97113.05;;;7.14;91.82
113;BME280;3093;48.809;9.181;2019-02-10T04:00:28;97104.98;;;7.18;91.67
