sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
9605;SDS011;4841;50.875;4.689;2019-02-10T02:34:34;16.80;;;3.40;;
9605;SDS011;4841;50.875;4.689;2019-02-10T02:37:02;13.93;;;3.37;;
9605;SDS011;4841;50.875;4.689;2019-02-10T02:39:31;8.90;;;2.97;;
9605;SDS011;4841;50.875;4.689;2019-02-10T02:41:59;10.17;;;2.93;;
9605;SDS011;4841;50.875;4.689;2019-02-10T02:44:27;10.23;;;2.83;;
9605;SDS011;4841;50.875;4.689;2019-02-10T02:46:55;12.63;;;2.70;;
9605;SDS011;4841;50.875;4.689;2019-02-10T02:49:23;10.13;;;2.77;;
9605;SDS011;4841;50.875;4.689;2019-02-10T02:51:51;10.17;;;2.50;;
9605;SDS011;4841;50.875;4.689;2019-02-10T02:54:21;7.10;;;2.20;;
9605;SDS011;4841;50.875;4.689;2019-02-10T02:56:49;8.33;;;2.57;;
9605;SDS011;4841;50.875;4.689;2019-02-10T02:59:17;7.80;;;2.10;;
9605;SDS011;4841;50.875;4.689;2019-02-10T03:01:45;7.80;;;2.27;;
9605;SDS011;4841;50.875;4.689;2019-02-10T03:04:13;6.03;;;2.20;;
9605;SDS011;4841;50.875;4.689;2019-02-10T03:06:41;7.93;;;2.50;;
9605;SDS011;4841;50.875;4.689;2019-02-10T03:09:12;4.97;;;2.10;;
9605;SDS011;4841;50.875;4.689;2019-02-10T03:11:40;5.87;;;2.57;;
9605;SDS011;4841;50.875;4.689;2019-02-10T03:14:08;7.07;;;2.23;;
9605;SDS011;4841;50.875;4.689;2019-02-10T03:16:36;4.60;;;2.20;;
9605;SDS011;4841;50.875;4.689;2019-02-10T03:19:04;3.73;;;2.03;;
9605;SDS011;4841;50.875;4.689;2019-02-10T03:21:32;7.33;;;2.63;;
9605;SDS011;4841;50.875;4.689;2019-02-10T03:24:01;3.77;;;2.10;;
9605;SDS011;4841;50.875;4.689;2019-02-10T03:26:29;2.33;;;1.80;;
9605;SDS011;4841;50.875;4.689;2019-02-10T03:28:57;4.90;;;2.33;;
9605;SDS011;4841;50.875;4.689;2019-02-10T03:31:25;6.00;;;2.30;;
9605;SDS011;4841;50.875;4.689;2019-02-10T03:33:53;2.93;;;2.03;;
9605;SDS011;4841;50.875;4.689;2019-02-10T03:36:21;5.73;;;2.30;;
9605;SDS011;4841;50.875;4.689;2019-02-10T03:38:49;5.60;;;2.27;;
9605;SDS011;4841;50.875;4.689;2019-02-10T03:41:17;5.20;;;1.90;;
9605;SDS011;4841;50.875;4.689;2019-02-10T03:43:45;5.87;;;2.30;;
9605;SDS011;4841;50.875;4.689;2019-02-10T03:46:13;5.47;;;2.50;;
9605;SDS011;4841;50.875;4.689;2019-02-10T03:48:42;5.87;;;2.50;;
9605;SDS011;4841;50.875;4.689;2019-02-10T03:51:10;4.57;;;2.50;;
9605;SDS011;4841;50.875;4.689;2019-02-10T03:53:38;3.77;;;2.50;;
9605;SDS011;4841;50.875;4.689;2019-02-10T03:56:06;5.80;;;2.43;;
9605;SDS011;4841;50.875;4.689;2019-02-10T03:58:34;7.03;;;2.90;;
9605;SDS011;4841;50.875;4.689;2019-02-10T04:01:02;3.83;;;2.50;;
9605;SDS011;4841;50.875;4.689;2019-02-10T04:03:30;4.43;;;2.20;;
9605;SDS011;4841;50.875;4.689;2019-02-10T04:05:58;5.37;;;2.63;;
9605;SDS011;4841;50.875;4.689;2019-02-10T04:08:26;4.30;;;2.30;;
9605;SDS011;4841;50.875;4.689;2019-02-10T04:10:54;3.00;;;2.30;;
9605;SDS011;4841;50.875;4.689;2019-02-10T04:13:22;4.23;;;2.30;;
9605;SDS011;4841;50.875;4.689;2019-02-10T04:15:50;4.43;;;1.90;;
9605;SDS011;4841;50.875;4.689;2019-02-10T04:18:18;2.57;;;1.83;;
9605;SDS011;4841;50.875;4.689;2019-02-10T04:20:46;4.40;;;2.30;;
9605;SDS011;4841;50.875;4.689;2019-02-10T04:23:14;3.83;;;1.90;;
9605;SDS011;4841;50.875;4.689;2019-02-10T04:25:42;2.67;;;1.90;;
9605;SDS011;4841;50.875;4.689;2019-02-10T04:28:10;3.33;;;1.90;;
9605;SDS011;4841;50.875;4.689;2019-02-10T04:30:39;3.10;;;2.00;;
9605;SDS011;4841;50.875;4.689;2019-02-10T04:33:08;2.53;;;1.70;;
9605;SDS011;4841;50.875;4.689;2019-02-10T04:35:36;1.70;;;1.57;;
9605;SDS011;4841;50.875;4.689;2019-02-10T04:38:04;2.40;;;1.77;;
9605;SDS011;4841;50.875;4.689;2019-02-10T04:40:32;4.70;;;2.27;;
9605;SDS011;4841;50.875;4.689;2019-02-10T04:43:00;1.97;;;1.50;;
9605;SDS011;4841;50.875;4.689;2019-02-10T04:45:28;4.37;;;2.10;;
9605;SDS011;4841;50.875;4.689;2019-02-10T04:47:56;2.40;;;1.70;;
9605;SDS011;4841;50.875;4.689;2019-02-10T04:50:24;2.67;;;1.97;;
9605;SDS011;4841;50.875;4.689;2019-02-10T04:52:52;4.87;;;1.97;;
9605;SDS011;4841;50.875;4.689;2019-02-10T04:55:20;4.03;;;1.73;;
9605;SDS011;4841;50.875;4.689;2019-02-10T04:57:48;3.93;;;2.20;;
9605;SDS011;4841;50.875;4.689;2019-02-10T05:00:16;2.73;;;2.00;;
9605;SDS011;4841;50.875;4.689;2019-02-10T05:02:44;2.40;;;2.00;;
9605;SDS011;4841;50.875;4.689;2019-02-10T05:05:12;3.33;;;2.33;;
9605;SDS011;4841;50.875;4.689;2019-02-10T05:07:40;3.70;;;2.43;;
9605;SDS011;4841;50.875;4.689;2019-02-10T05:10:08;3.03;;;2.60;;
9605;SDS011;4841;50.875;4.689;2019-02-10T05:12:36;3.77;;;3.20;;
9605;SDS011;4841;50.875;4.689;2019-02-10T05:15:04;3.63;;;2.50;;
9605;SDS011;4841;50.875;4.689;2019-02-10T05:17:32;4.00;;;2.80;;
9605;SDS011;4841;50.875;4.689;2019-02-10T05:20:01;3.10;;;2.60;;
9605;SDS011;4841;50.875;4.689;2019-02-10T05:22:29;4.13;;;2.73;;
9605;SDS011;4841;50.875;4.689;2019-02-10T05:24:57;4.73;;;2.90;;
9605;SDS011;4841;50.875;4.689;2019-02-10T05:27:25;4.93;;;3.40;;
9605;SDS011;4841;50.875;4.689;2019-02-10T05:29:53;4.50;;;2.60;;
9605;SDS011;4841;50.875;4.689;2019-02-10T05:32:21;4.40;;;2.60;;
9605;SDS011;4841;50.875;4.689;2019-02-10T05:34:49;5.87;;;3.00;;
9605;SDS011;4841;50.875;4.689;2019-02-10T05:37:17;4.93;;;3.00;;
9605;SDS011;4841;50.875;4.689;2019-02-10T05:39:45;3.47;;;3.00;;
9605;SDS011;4841;50.875;4.689;2019-02-10T05:42:14;4.57;;;3.00;;
9605;SDS011;4841;50.875;4.689;2019-02-10T05:44:42;4.60;;;3.03;;
9605;SDS011;4841;50.875;4.689;2019-02-10T05:47:10;4.60;;;3.07;;
9605;SDS011;4841;50.875;4.689;2019-02-10T05:49:38;6.10;;;3.30;;
9605;SDS011;4841;50.875;4.689;2019-02-10T05:52:06;4.97;;;3.20;;
