sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
548;BME280;260;48.724;9.094;2019-02-10T00:00:31;95740.94;;;15.41;37.52
548;BME280;260;48.724;9.094;2019-02-10T00:03:20;95726.27;;;15.40;37.58
548;BME280;260;48.724;9.094;2019-02-10T00:05:48;95726.34;;;15.43;37.44
548;BME280;260;48.724;9.094;2019-02-10T00:08:16;95728.08;;;15.40;37.45
548;BME280;260;48.724;9.094;2019-02-10T00:10:43;95726.88;;;15.36;37.44
548;BME280;260;48.724;9.094;2019-02-10T00:13:29;95721.18;;;15.45;37.35
548;BME280;260;48.724;9.094;2019-02-10T00:15:57;95721.78;;;15.54;37.21
548;BME280;260;48.724;9.094;2019-02-10T00:18:25;95720.72;;;15.61;37.09
548;BME280;260;48.724;9.094;2019-02-10T00:20:55;95712.39;;;15.71;36.99
548;BME280;260;48.724;9.094;2019-02-10T00:23:23;95711.30;;;15.78;36.93
548;BME280;260;48.724;9.094;2019-02-10T00:25:51;95702.04;;;15.67;36.97
548;BME280;260;48.724;9.094;2019-02-10T00:28:19;95712.43;;;15.49;37.28
548;BME280;260;48.724;9.094;2019-02-10T00:30:47;95702.91;;;15.23;37.75
548;BME280;260;48.724;9.094;2019-02-10T00:33:15;95707.34;;;15.22;37.66
548;BME280;260;48.724;9.094;2019-02-10T00:35:43;95698.48;;;15.23;37.60
548;BME280;260;48.724;9.094;2019-02-10T00:38:10;95689.81;;;15.39;37.18
548;BME280;260;48.724;9.094;2019-02-10T00:40:38;95685.94;;;15.16;37.50
548;BME280;260;48.724;9.094;2019-02-10T00:43:06;95676.59;;;15.11;37.58
548;BME280;260;48.724;9.094;2019-02-10T00:45:34;95680.47;;;14.80;38.15
548;BME280;260;48.724;9.094;2019-02-10T00:48:02;95678.78;;;14.99;37.76
548;BME280;260;48.724;9.094;2019-02-10T00:50:30;95685.87;;;15.07;37.56
548;BME280;260;48.724;9.094;2019-02-10T00:52:58;95683.32;;;15.16;37.13
548;BME280;260;48.724;9.094;2019-02-10T00:55:25;95683.47;;;15.21;37.06
548;BME280;260;48.724;9.094;2019-02-10T00:57:53;95673.28;;;15.13;37.25
