sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
8993;SDS011;4532;50.886;4.701;2019-02-10T00:01:08;20.57;;;4.97;;
8993;SDS011;4532;50.886;4.701;2019-02-10T00:03:42;31.20;;;6.00;;
8993;SDS011;4532;50.886;4.701;2019-02-10T00:06:11;30.40;;;5.33;;
8993;SDS011;4532;50.886;4.701;2019-02-10T00:08:41;25.40;;;6.73;;
8993;SDS011;4532;50.886;4.701;2019-02-10T00:11:11;24.93;;;5.43;;
8993;SDS011;4532;50.886;4.701;2019-02-10T00:13:41;24.07;;;5.40;;
8993;SDS011;4532;50.886;4.701;2019-02-10T00:16:11;31.60;;;6.37;;
8993;SDS011;4532;50.886;4.701;2019-02-10T00:18:42;34.57;;;6.40;;
8993;SDS011;4532;50.886;4.701;2019-02-10T00:21:12;29.97;;;5.63;;
8993;SDS011;4532;50.886;4.701;2019-02-10T00:23:41;25.07;;;6.07;;
8993;SDS011;4532;50.886;4.701;2019-02-10T00:26:11;25.23;;;5.77;;
8993;SDS011;4532;50.886;4.701;2019-02-10T00:28:40;27.13;;;7.17;;
8993;SDS011;4532;50.886;4.701;2019-02-10T00:31:10;27.17;;;5.77;;
8993;SDS011;4532;50.886;4.701;2019-02-10T00:33:39;30.50;;;5.70;;
8993;SDS011;4532;50.886;4.701;2019-02-10T00:36:08;26.97;;;5.17;;
8993;SDS011;4532;50.886;4.701;2019-02-10T00:38:38;32.30;;;5.67;;
8993;SDS011;4532;50.886;4.701;2019-02-10T00:41:07;28.53;;;5.43;;
8993;SDS011;4532;50.886;4.701;2019-02-10T00:43:37;35.93;;;6.43;;
8993;SDS011;4532;50.886;4.701;2019-02-10T00:46:06;31.07;;;6.00;;
8993;SDS011;4532;50.886;4.701;2019-02-10T00:48:36;32.00;;;5.23;;
8993;SDS011;4532;50.886;4.701;2019-02-10T00:51:05;25.43;;;6.37;;
8993;SDS011;4532;50.886;4.701;2019-02-10T00:53:35;28.93;;;5.40;;
8993;SDS011;4532;50.886;4.701;2019-02-10T00:56:04;20.87;;;4.93;;
8993;SDS011;4532;50.886;4.701;2019-02-10T00:58:34;30.20;;;5.40;;
8993;SDS011;4532;50.886;4.701;2019-02-10T01:01:03;21.57;;;5.03;;
